textbox6,textbox13
Visits By Week,"Start: 01/20/2021 - End: 05/07/2021
Locations: Tinsley Learning Center"

WeekByDate,DayName,SignInCount
1/24/2021,Monday,6
1/24/2021,Wednesday,3
1/24/2021,Thursday,11
1/31/2021,Monday,42
1/31/2021,Tuesday,40
1/31/2021,Wednesday,44
1/31/2021,Thursday,25
1/31/2021,Friday,4
2/7/2021,Monday,43
2/7/2021,Tuesday,35
2/7/2021,Wednesday,30
2/7/2021,Thursday,22
2/7/2021,Friday,4
2/14/2021,Thursday,5
2/14/2021,Friday,1
2/21/2021,Monday,33
2/21/2021,Tuesday,45
2/21/2021,Wednesday,35
2/21/2021,Thursday,27
2/21/2021,Friday,5
2/28/2021,Sunday,12
2/28/2021,Monday,36
2/28/2021,Tuesday,24
2/28/2021,Wednesday,42
2/28/2021,Thursday,33
2/28/2021,Friday,4
3/7/2021,Monday,45
3/7/2021,Tuesday,50
3/7/2021,Wednesday,42
3/7/2021,Thursday,30
3/7/2021,Friday,5
3/14/2021,Sunday,10
3/14/2021,Monday,44
3/14/2021,Tuesday,32
3/14/2021,Wednesday,45
3/14/2021,Thursday,20
3/14/2021,Friday,6
3/21/2021,Sunday,3
3/21/2021,Monday,43
3/21/2021,Tuesday,40
3/21/2021,Wednesday,39
3/21/2021,Thursday,23
3/21/2021,Friday,2
3/28/2021,Monday,50
3/28/2021,Tuesday,42
3/28/2021,Wednesday,36
3/28/2021,Thursday,3
4/11/2021,Monday,37
4/11/2021,Tuesday,32
4/11/2021,Wednesday,35
4/11/2021,Thursday,22
4/11/2021,Friday,6
4/18/2021,Monday,46
4/18/2021,Tuesday,41
4/18/2021,Wednesday,36
4/18/2021,Thursday,18
4/18/2021,Friday,1
4/25/2021,Monday,34
4/25/2021,Tuesday,28
4/25/2021,Wednesday,34
4/25/2021,Thursday,16
4/25/2021,Friday,3
5/2/2021,Monday,31
5/2/2021,Tuesday,46
5/2/2021,Wednesday,38
5/2/2021,Thursday,14
5/2/2021,Friday,8

